date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:20:53	1159/1159	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-6191537b-d9f6cb46fe0fafa0;gz%22	https://aldendiabetesmellitus.online/robots.txt		(from )
17:20:53	6258/6258	---M-Z	200	added ('OK')	text/html	etag:%221872-632f9545-2707ea05c72d6d59;gz%22	https://aldendiabetesmellitus.online/upsell1/	C:/My%20Web%20Sites/UPSELL%20MELLITUS%201/aldendiabetesmellitus.online/upsell1/index.html	(from )
17:20:54	5699/5699	---M-Z	200	added ('OK')	text/css	etag:%221643-632e681f-4bf11d1c55632ca5;gz%22	https://aldendiabetesmellitus.online/upsell1/styles.css	C:/My%20Web%20Sites/UPSELL%20MELLITUS%201/aldendiabetesmellitus.online/upsell1/styles.css	(from https://aldendiabetesmellitus.online/upsell1/)
17:20:54	121470/121470	---M-Z	200	added ('OK')	text/css	etag:%221da7e-632e681f-a1e416ddf19e9f46;gz%22	https://aldendiabetesmellitus.online/upsell1/assets/maxcdn.bootstrapcdn.com/bootstrap/3.3.7/css/bootstrap.min.css	C:/My%20Web%20Sites/UPSELL%20MELLITUS%201/aldendiabetesmellitus.online/upsell1/assets/maxcdn.bootstrapcdn.com/bootstrap/3.3.7/css/bootstrap.min.css	(from https://aldendiabetesmellitus.online/upsell1/)
17:20:55	293430/293430	---M-Z	200	added ('OK')	application/x-javascript	etag:%2247a36-632e681f-6e79c545d498791b;gz%22	https://aldendiabetesmellitus.online/upsell1/assets/code.jquery.com/jquery-1.12.4.js	C:/My%20Web%20Sites/UPSELL%20MELLITUS%201/aldendiabetesmellitus.online/upsell1/assets/code.jquery.com/jquery-1.12.4.js	(from https://aldendiabetesmellitus.online/upsell1/)
17:20:55	37045/37045	---M-Z	200	added ('OK')	application/x-javascript	etag:%2290b5-632e681f-2e2c6ec7c33233af;gz%22	https://aldendiabetesmellitus.online/upsell1/assets/maxcdn.bootstrapcdn.com/bootstrap/3.3.7/js/bootstrap.min.js	C:/My%20Web%20Sites/UPSELL%20MELLITUS%201/aldendiabetesmellitus.online/upsell1/assets/maxcdn.bootstrapcdn.com/bootstrap/3.3.7/js/bootstrap.min.js	(from https://aldendiabetesmellitus.online/upsell1/)
17:20:56	4124/4124	---M-Z	200	added ('OK')	application/x-javascript	etag:%22101c-632e681f-71f153da062b7e42;gz%22	https://aldendiabetesmellitus.online/upsell1/assets/use.fontawesome.com/106bf6f26c.js	C:/My%20Web%20Sites/UPSELL%20MELLITUS%201/aldendiabetesmellitus.online/upsell1/assets/use.fontawesome.com/106bf6f26c.js	(from https://aldendiabetesmellitus.online/upsell1/)
17:20:57	1375/1375	---M--	200	added ('OK')	image/jpeg	etag:%22c6a4270c898ec01d296bcbb8de3befca%22	https://images.converteai.net/292db38a-b0db-420a-bcd1-4ed01c003135/players/632e67843da239000a8f1d23/thumbnail.jpg	C:/My%20Web%20Sites/UPSELL%20MELLITUS%201/images.converteai.net/292db38a-b0db-420a-bcd1-4ed01c003135/players/632e67843da239000a8f1d23/thumbnail.jpg	(from https://aldendiabetesmellitus.online/upsell1/)
17:20:58	2307/2307	---MCZ	200	added ('OK')	application/javascript	etag:W/%22bd2e790bdba637f84808783c3f229076%22	https://scripts.converteai.net/292db38a-b0db-420a-bcd1-4ed01c003135/players/632e67843da239000a8f1d23/player.js	C:/My%20Web%20Sites/UPSELL%20MELLITUS%201/scripts.converteai.net/292db38a-b0db-420a-bcd1-4ed01c003135/players/632e67843da239000a8f1d23/player.js	(from https://aldendiabetesmellitus.online/upsell1/)
17:20:58	5542/5542	---M-Z	200	added ('OK')	application/javascript	etag:W/%2215a6-1836b78bb90%22	https://pay.hotmart.com/assets/js/hotmart.upsell_checkout.js	C:/My%20Web%20Sites/UPSELL%20MELLITUS%201/pay.hotmart.com/assets/js/hotmart.upsell_checkout.js	(from https://aldendiabetesmellitus.online/upsell1/)
17:20:59	88145/88145	---M--	200	added ('OK')	text/javascript	date:Mon,%2013%20May%202019%2014:37:17%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.4.1/jquery.min.js	C:/My%20Web%20Sites/UPSELL%20MELLITUS%201/ajax.googleapis.com/ajax/libs/jquery/3.4.1/jquery.min.js	(from https://aldendiabetesmellitus.online/upsell1/)
17:20:59	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-6191537b-d9f6cb46fe0fafa0;gz%22	https://aldendiabetesmellitus.online/upsell1/Popover%20requires%20tooltip.js	C:/My%20Web%20Sites/UPSELL%20MELLITUS%201/aldendiabetesmellitus.online/upsell1/Popover%20requires%20tooltip.js	(from https://aldendiabetesmellitus.online/upsell1/assets/maxcdn.bootstrapcdn.com/bootstrap/3.3.7/js/bootstrap.min.js)
